model_label,unit_id,evaluation,fold,temporal_ms,temporal_samples,spatial_support,n_channels,n_train_hits,n_test_hits,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep
ib_w96_om0_s0,94,in_sample,-1,3.0,90,top24,24,100,100,1.575375415330608,1.4920649373704935,-0.0833104779601143,0.8908500075340271,0.8790500164031982
ib_w96_om0_s0,94,in_sample,-1,4.0,120,endpoint,12,100,100,2.1674297179864173,2.023165937207581,-0.1442637807788362,0.9552500247955322,0.9441499710083008
ib_w96_om0_s0,94,in_sample,-1,4.0,120,top1,1,100,100,2.491207433425253,2.327650567210377,-0.163556866214876,0.9564499855041504,0.9476500153541564
ib_w96_om0_s0,94,in_sample,-1,4.0,120,top2,2,100,100,2.7822339852813,2.582282689461351,-0.1999512958199489,0.9692500233650208,0.9620500206947328
ib_w96_om0_s0,94,in_sample,-1,4.0,120,top4,4,100,100,2.8094950482673093,2.6060365323842527,-0.2034585158830566,0.9728999733924866,0.9650999903678894
ib_w96_om0_s0,94,in_sample,-1,4.0,120,top8,8,100,100,2.59299382691098,2.41055708653334,-0.1824367403776401,0.9665499925613404,0.9575999975204468
ib_w96_om0_s0,94,in_sample,-1,4.0,120,top16,16,100,100,1.9087960379870244,1.787793914416914,-0.1210021235701104,0.9316499829292296,0.9193999767303468
ib_w96_om0_s0,94,in_sample,-1,4.0,120,top24,24,100,100,1.6007234755342197,1.512285046761488,-0.0884384287727315,0.8942499756813049,0.8840000033378601
ib_w96_om0_s0,94,crossfit,0,0.5,15,endpoint,17,50,50,1.5205078870318542,1.413389631238304,-0.1071182557935501,0.8737999796867371,0.8596000075340271
ib_w96_om0_s0,94,crossfit,0,0.5,15,top1,1,50,50,2.475756001348718,2.381404211622745,-0.0943517897259731,0.9572499990463256,0.9528999924659728
ib_w96_om0_s0,94,crossfit,0,0.5,15,top2,2,50,50,2.807713288052287,2.6790184004250555,-0.1286948876272315,0.971400022506714,0.9661999940872192
ib_w96_om0_s0,94,crossfit,0,0.5,15,top4,4,50,50,2.846405531989443,2.689061740123345,-0.1573437918660976,0.9757000207901,0.9696000218391418
ib_w96_om0_s0,94,crossfit,0,0.5,15,top8,8,50,50,1.6708757659414504,1.5442212061815344,-0.126654559759916,0.892300009727478,0.8780999779701233
ib_w96_om0_s0,94,crossfit,0,0.5,15,top16,16,50,50,1.5729754557179645,1.4565486270304633,-0.1164268286875009,0.876800000667572,0.8644999861717224
ib_w96_om0_s0,94,crossfit,0,0.5,15,top24,24,50,50,1.2880757467226522,1.206998940136127,-0.0810768065865252,0.8363000154495239,0.823199987411499
ib_w96_om0_s0,94,crossfit,0,1.0,30,endpoint,17,50,50,1.258260105266304,1.1707056127175444,-0.0875544925487596,0.8335999846458435,0.8205000162124634
ib_w96_om0_s0,94,crossfit,0,1.0,30,top1,1,50,50,2.4371342668392044,2.3321357241102283,-0.1049985427289761,0.9544000029563904,0.9503999948501588
ib_w96_om0_s0,94,crossfit,0,1.0,30,top2,2,50,50,2.78607393483732,2.642491000239533,-0.1435829345977866,0.9700000286102296,0.9642000198364258
ib_w96_om0_s0,94,crossfit,0,1.0,30,top4,4,50,50,2.829499402356902,2.659564743953793,-0.1699346584031089,0.9740999937057496,0.9686999917030334
ib_w96_om0_s0,94,crossfit,0,1.0,30,top8,8,50,50,1.3737722301544075,1.273219741867064,-0.1005524882873434,0.8579000234603882,0.8457000255584717
ib_w96_om0_s0,94,crossfit,0,1.0,30,top16,16,50,50,1.2959622762430665,1.2015007372937083,-0.0944615389493579,0.836899995803833,0.8238999843597412
ib_w96_om0_s0,94,crossfit,0,1.0,30,top24,24,50,50,1.1133467584840822,1.0467597813862162,-0.0665869770978659,0.8029999732971191,0.7910000085830688
ib_w96_om0_s0,94,crossfit,0,2.0,60,endpoint,17,50,50,0.790078681560637,0.7392972659019041,-0.0507814156587328,0.7282999753952026,0.7139000296592712
ib_w96_om0_s0,94,crossfit,0,2.0,60,top1,1,50,50,2.224097889963056,2.0967488757959383,-0.1273490141671174,0.9416999816894532,0.9326000213623048
ib_w96_om0_s0,94,crossfit,0,2.0,60,top2,2,50,50,2.583013023072153,2.420622607408014,-0.1623904156641389,0.9603999853134156,0.953499972820282
ib_w96_om0_s0,94,crossfit,0,2.0,60,top4,4,50,50,2.6172547412856604,2.4447560585009063,-0.1724986827847541,0.9661999940872192,0.9592000246047974
ib_w96_om0_s0,94,crossfit,0,2.0,60,top8,8,50,50,0.8346065363804616,0.7803593701127927,-0.0542471662676689,0.7411999702453613,0.7285000085830688
ib_w96_om0_s0,94,crossfit,0,2.0,60,top16,16,50,50,0.8120654227533981,0.761496292981601,-0.050569129771797,0.733299970626831,0.7210000157356262
ib_w96_om0_s0,94,crossfit,0,2.0,60,top24,24,50,50,0.6968153510751498,0.6575160250389485,-0.0392993260362013,0.7105000019073486,0.6990000009536743
ib_w96_om0_s0,94,crossfit,0,3.0,90,endpoint,17,50,50,0.6766142053369621,0.6202005805025369,-0.0564136248344252,0.6955000162124634,0.680400013923645
ib_w96_om0_s0,94,crossfit,0,3.0,90,top1,1,50,50,2.1811412083357675,2.0415680184945773,-0.1395731898411902,0.9397000074386596,0.9294000267982484
ib_w96_om0_s0,94,crossfit,0,3.0,90,top2,2,50,50,2.543505823995926,2.369650939373717,-0.1738548846222083,0.9573000073432922,0.9501000046730042
ib_w96_om0_s0,94,crossfit,0,3.0,90,top4,4,50,50,2.568014328603034,2.391679555890979,-0.176334772712055,0.9632999897003174,0.9542999863624572
ib_w96_om0_s0,94,crossfit,0,3.0,90,top8,8,50,50,0.698500750154594,0.6394106567037826,-0.0590900934508114,0.7049000263214111,0.6904000043869019
ib_w96_om0_s0,94,crossfit,0,3.0,90,top16,16,50,50,0.7120170779383892,0.6537161927465747,-0.0583008851918145,0.7021999955177307,0.6861000061035156
ib_w96_om0_s0,94,crossfit,0,3.0,90,top24,24,50,50,0.5777355548996147,0.5362746339968256,-0.041460920902789,0.6729999780654907,0.661300003528595
ib_w96_om0_s0,94,crossfit,0,4.0,120,endpoint,17,50,50,0.6893046786507935,0.6356177164923553,-0.0536869621584381,0.6873999834060669,0.6725999712944031
ib_w96_om0_s0,94,crossfit,0,4.0,120,top1,1,50,50,2.144262849855252,1.987980504400455,-0.1562823454547968,0.9375,0.9239000082015992
ib_w96_om0_s0,94,crossfit,0,4.0,120,top2,2,50,50,2.5203614453312437,2.3376182267161107,-0.1827432186151325,0.9574999809265136,0.9502000212669371
ib_w96_om0_s0,94,crossfit,0,4.0,120,top4,4,50,50,2.560015794628164,2.373200982565101,-0.1868148120630626,0.9639999866485596,0.9544000029563904
ib_w96_om0_s0,94,crossfit,0,4.0,120,top8,8,50,50,0.7348577707604428,0.6761399985486942,-0.0587177722117485,0.7063999772071838,0.690500020980835
ib_w96_om0_s0,94,crossfit,0,4.0,120,top16,16,50,50,0.7325343741777652,0.6757505330004946,-0.0567838411772706,0.7013999819755554,0.6833999752998352
