domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90
raw_native,8.0,final_clustering,fp_matched_cluster,49,3,8.136853218078613,8.123974800109863,8.139627456665039,8.148621559143066
raw_native,8.0,final_clustering,fp_matched_cluster,50,3,9.635634422302246,8.353182792663574,8.896913528442383,11.21357536315918
raw_native,8.0,final_clustering,fp_matched_cluster,51,2,8.314428329467773,8.281901359558105,8.314428329467773,8.346955299377441
raw_native,8.0,final_clustering,fp_matched_cluster,52,2,8.515974044799805,8.454143524169922,8.515974044799805,8.577804565429688
raw_native,8.0,final_clustering,fp_matched_cluster,53,2,8.694376945495605,8.476075172424316,8.694376945495605,8.912678718566895
raw_native,8.0,final_clustering,fp_matched_cluster,54,1,8.658735275268555,8.658735275268555,8.658735275268555,8.658735275268555
raw_native,8.0,final_clustering,fp_matched_cluster,56,1,8.102091789245605,8.102091789245605,8.102091789245605,8.102091789245605
raw_native,8.0,final_clustering,fp_matched_cluster,57,1,9.155403137207031,9.155403137207031,9.155403137207031,9.155403137207031
raw_native,8.0,final_clustering,fp_matched_cluster,61,2,8.977001190185547,8.708008766174316,8.977001190185547,9.245993614196777
raw_native,8.0,final_clustering,fp_matched_cluster,65,1,8.360082626342773,8.360082626342773,8.360082626342773,8.360082626342773
raw_native,8.0,final_clustering,fp_matched_cluster,69,1,8.827041625976562,8.827041625976562,8.827041625976562,8.827041625976562
raw_native,8.0,final_clustering,fp_matched_cluster,76,1,9.634288787841797,9.634288787841797,9.634288787841797,9.634288787841797
raw_native,8.0,final_clustering,fp_matched_cluster,89,1,8.48499870300293,8.48499870300293,8.48499870300293,8.48499870300293
raw_native,8.0,final_clustering,fp_matched_cluster,96,1,8.550329208374023,8.550329208374023,8.550329208374023,8.550329208374023
raw_native,8.0,final_clustering,tp,0,5761,24.71677017211914,19.139726638793945,25.632963180541992,28.284196853637695
raw_native,8.0,final_clustering,tp,1,8070,23.348140716552734,17.392860412597656,24.713748931884766,27.748416900634766
raw_native,8.0,final_clustering,tp,2,7850,21.455297470092773,13.890525817871094,22.1903076171875,27.017187118530273
raw_native,8.0,final_clustering,tp,3,6842,19.243194580078125,11.862805366516113,19.10230255126953,26.018033981323242
raw_native,8.0,final_clustering,tp,4,6130,17.08658790588379,10.845735549926758,17.25909423828125,24.50876235961914
raw_native,8.0,final_clustering,tp,5,5739,15.219205856323242,10.210618019104004,14.272693634033203,21.017053604125977
raw_native,8.0,final_clustering,tp,6,5528,13.836587905883789,9.797489166259766,12.6754732131958,19.06865692138672
raw_native,8.0,final_clustering,tp,7,5377,12.793364524841309,9.431782722473145,11.962568283081055,17.707365036010742
raw_native,8.0,final_clustering,tp,8,5205,12.079855918884277,9.159234046936035,11.446847915649414,16.294240951538086
raw_native,8.0,final_clustering,tp,9,4931,11.527172088623047,8.957450866699219,11.065930366516113,14.6735200881958
raw_native,8.0,final_clustering,tp,10,4771,11.074169158935547,8.780684471130371,10.768595695495605,13.468951225280762
raw_native,8.0,final_clustering,tp,11,4485,10.786895751953125,8.641644477844238,10.516660690307617,13.09097957611084
raw_native,8.0,final_clustering,tp,12,4016,10.477995872497559,8.55178451538086,10.22925853729248,12.564970016479492
raw_native,8.0,final_clustering,tp,13,3642,10.3284330368042,8.506280899047852,10.060539245605469,12.391160011291504
raw_native,8.0,final_clustering,tp,14,3257,10.090873718261719,8.42306900024414,9.85158920288086,12.037609100341797
raw_native,8.0,final_clustering,tp,15,2777,9.89220905303955,8.358344078063965,9.623848915100098,11.7303466796875
raw_native,8.0,final_clustering,tp,16,2521,9.785487174987793,8.315728187561035,9.527045249938965,11.5798978805542
raw_native,8.0,final_clustering,tp,17,2118,9.651910781860352,8.27450180053711,9.397189140319824,11.322915077209473
raw_native,8.0,final_clustering,tp,18,1767,9.497034072875977,8.233991622924805,9.204069137573242,11.056077003479004
raw_native,8.0,final_clustering,tp,19,1359,9.43451976776123,8.216381072998047,9.172333717346191,11.07534408569336
raw_native,8.0,final_clustering,tp,20,1188,9.370037078857422,8.204484939575195,9.100337982177734,10.912895202636719
raw_native,8.0,final_clustering,tp,21,955,9.184998512268066,8.144953727722168,8.922381401062012,10.632428169250488
raw_native,8.0,final_clustering,tp,22,712,9.15018367767334,8.191122055053711,8.873682022094727,10.458702087402344
raw_native,8.0,final_clustering,tp,23,582,9.00240421295166,8.12946891784668,8.77291202545166,10.267149925231934
raw_native,8.0,final_clustering,tp,24,470,9.002593994140625,8.113856315612793,8.731241226196289,10.1729097366333
raw_native,8.0,final_clustering,tp,25,325,8.929197311401367,8.069878578186035,8.624593734741211,10.138821601867676
raw_native,8.0,final_clustering,tp,26,282,8.973194122314453,8.157369613647461,8.708902359008789,10.26925277709961
raw_native,8.0,final_clustering,tp,27,235,8.958808898925781,8.103763580322266,8.62746524810791,9.93696117401123
raw_native,8.0,final_clustering,tp,28,163,8.797701835632324,8.063569068908691,8.57176685333252,9.791640281677246
raw_native,8.0,final_clustering,tp,29,133,8.967612266540527,8.096809387207031,8.628277778625488,10.022505760192871
raw_native,8.0,final_clustering,tp,30,91,8.865592956542969,8.101517677307129,8.660188674926758,9.818045616149902
raw_native,8.0,final_clustering,tp,31,77,8.925703048706055,8.123750686645508,8.702098846435547,9.990205764770508
raw_native,8.0,final_clustering,tp,32,67,8.758830070495605,8.104750633239746,8.567323684692383,9.596030235290527
raw_native,8.0,final_clustering,tp,33,50,9.097748756408691,8.10847282409668,8.720132827758789,10.434579849243164
raw_native,8.0,final_clustering,tp,34,34,8.799469947814941,8.131601333618164,8.665630340576172,9.731648445129395
raw_native,8.0,final_clustering,tp,35,36,8.82374095916748,8.048873901367188,8.450960159301758,9.816064834594727
raw_native,8.0,final_clustering,tp,36,19,8.607622146606445,8.033285140991211,8.595073699951172,9.0548095703125
raw_native,8.0,final_clustering,tp,37,19,8.931096076965332,8.06955623626709,8.589494705200195,10.4216890335083
raw_native,8.0,final_clustering,tp,38,11,9.021622657775879,8.270401000976562,9.06131362915039,9.664277076721191
raw_native,8.0,final_clustering,tp,39,14,8.772866249084473,8.179137229919434,8.588708877563477,9.783346176147461
