domain,peel,tp_events,fp_events,matched_events,fp_fraction,fp_share,fp_cumulative
raw_native,58,0,0,0,0.0,0.0,0.9997742809235136
raw_native,59,1,0,1,0.0,0.0,0.9997742809235136
raw_native,60,1,0,1,0.0,0.0,0.9997742809235136
raw_native,61,0,2,2,1.0,6.449116471043467e-05,0.999838772088224
raw_native,62,0,0,0,0.0,0.0,0.999838772088224
raw_native,63,0,0,0,0.0,0.0,0.999838772088224
raw_native,64,0,0,0,0.0,0.0,0.999838772088224
raw_native,65,0,1,1,1.0,3.224558235521733e-05,0.9998710176705793
raw_native,66,1,0,1,0.0,0.0,0.9998710176705793
raw_native,67,2,0,2,0.0,0.0,0.9998710176705793
raw_native,68,0,0,0,0.0,0.0,0.9998710176705793
raw_native,69,0,1,1,1.0,3.224558235521733e-05,0.9999032632529345
raw_native,70,1,0,1,0.0,0.0,0.9999032632529345
raw_native,71,0,0,0,0.0,0.0,0.9999032632529345
raw_native,72,1,0,1,0.0,0.0,0.9999032632529345
raw_native,73,1,0,1,0.0,0.0,0.9999032632529345
raw_native,74,1,0,1,0.0,0.0,0.9999032632529345
raw_native,75,0,0,0,0.0,0.0,0.9999032632529345
raw_native,76,0,1,1,1.0,3.224558235521733e-05,0.9999355088352898
raw_native,77,0,0,0,0.0,0.0,0.9999355088352898
raw_native,78,0,0,0,0.0,0.0,0.9999355088352898
raw_native,79,0,0,0,0.0,0.0,0.9999355088352898
raw_native,80,2,0,2,0.0,0.0,0.9999355088352898
raw_native,81,0,0,0,0.0,0.0,0.9999355088352898
raw_native,82,0,0,0,0.0,0.0,0.9999355088352898
raw_native,83,0,0,0,0.0,0.0,0.9999355088352898
raw_native,84,0,0,0,0.0,0.0,0.9999355088352898
raw_native,85,0,0,0,0.0,0.0,0.9999355088352898
raw_native,86,0,0,0,0.0,0.0,0.9999355088352898
raw_native,87,0,0,0,0.0,0.0,0.9999355088352898
raw_native,88,0,0,0,0.0,0.0,0.9999355088352898
