domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90,score_margin_mean,score_margin_q10,score_margin_median,score_margin_q90,supported
denoised,8.0,duplicate_removal,fp_matched_cluster,91,5,8.339754104614258,8.02178955078125,8.046723365783691,8.851174354553223,0.3397541046142578,0.02178955078125,0.046723365783691406,0.8511743545532227,False
denoised,8.0,duplicate_removal,fp_matched_cluster,92,8,8.51028823852539,8.103803634643555,8.236934661865234,9.113496780395508,0.5102882385253906,0.10380363464355469,0.23693466186523438,1.1134967803955078,False
denoised,8.0,duplicate_removal,fp_matched_cluster,93,5,8.256525993347168,8.068593978881836,8.188804626464844,8.515301704406738,0.25652599334716797,0.06859397888183594,0.18880462646484375,0.5153017044067383,False
denoised,8.0,duplicate_removal,fp_matched_cluster,94,2,8.190135955810547,8.12098503112793,8.190135955810547,8.259286880493164,0.19013595581054688,0.12098503112792969,0.19013595581054688,0.25928688049316406,False
denoised,8.0,duplicate_removal,fp_matched_cluster,95,5,8.666009902954102,8.027149200439453,8.272639274597168,9.635663032531738,0.6660099029541016,0.027149200439453125,0.27263927459716797,1.6356630325317383,False
denoised,8.0,duplicate_removal,fp_matched_cluster,96,2,8.697681427001953,8.591897964477539,8.697681427001953,8.803464889526367,0.6976814270019531,0.5918979644775391,0.6976814270019531,0.8034648895263672,False
denoised,8.0,duplicate_removal,fp_matched_cluster,97,4,10.22026824951172,8.118816375732422,8.348459243774414,13.819168090820312,2.2202682495117205,0.11881637573242188,0.34845924377441406,5.8191680908203125,False
denoised,8.0,duplicate_removal,fp_matched_cluster,98,3,8.942534446716309,8.094705581665039,8.157681465148926,10.104304313659668,0.9425344467163086,0.09470558166503906,0.15768146514892578,2.104304313659668,False
denoised,8.0,duplicate_removal,fp_matched_cluster,99,1,8.068967819213867,8.068967819213867,8.068967819213867,8.068967819213867,0.06896781921386719,0.06896781921386719,0.06896781921386719,0.06896781921386719,False
denoised,8.0,duplicate_removal,tp,0,11230,35.25123596191406,30.71759986877441,35.90159225463867,39.4947509765625,27.251235961914062,22.71759986877441,27.901592254638672,31.4947509765625,True
denoised,8.0,duplicate_removal,tp,1,11910,33.39354705810547,27.949359893798828,34.473976135253906,38.61223220825195,25.39354705810547,19.949359893798828,26.473976135253906,30.612232208251953,True
denoised,8.0,duplicate_removal,tp,2,9342,29.94595718383789,17.806211471557617,32.01331329345703,37.39826965332031,21.94595718383789,9.806211471557617,24.01331329345703,29.398269653320312,True
denoised,8.0,duplicate_removal,tp,3,7029,25.731678009033203,16.06875228881836,27.767553329467773,35.57867431640625,17.731678009033203,8.06875228881836,19.767553329467773,27.57867431640625,True
denoised,8.0,duplicate_removal,tp,4,6370,21.70681571960449,15.198436737060549,18.82791519165039,32.56129455566406,13.706815719604489,7.198436737060549,10.82791519165039,24.561294555664062,True
denoised,8.0,duplicate_removal,tp,5,6425,18.94258117675781,14.506502151489258,17.622880935668945,27.9329833984375,10.942581176757809,6.506502151489258,9.622880935668945,19.9329833984375,True
denoised,8.0,duplicate_removal,tp,6,6575,17.510271072387695,13.905817031860352,16.98248291015625,20.58376121520996,9.510271072387695,5.905817031860352,8.98248291015625,12.583761215209961,True
denoised,8.0,duplicate_removal,tp,7,6662,16.67156982421875,13.483071327209473,16.49960708618164,19.6474666595459,8.67156982421875,5.483071327209473,8.49960708618164,11.647466659545898,True
denoised,8.0,duplicate_removal,tp,8,6494,16.19058609008789,13.127055168151855,16.114505767822266,19.089603424072266,8.19058609008789,5.1270551681518555,8.114505767822266,11.089603424072266,True
denoised,8.0,duplicate_removal,tp,9,6182,15.723735809326172,12.702765464782717,15.665538787841797,18.661304473876957,7.723735809326172,4.702765464782717,7.665538787841797,10.661304473876957,True
denoised,8.0,duplicate_removal,tp,10,5640,15.227367401123049,12.271924018859863,15.208542823791504,18.149940490722656,7.227367401123049,4.271924018859863,7.208542823791504,10.149940490722656,True
denoised,8.0,duplicate_removal,tp,11,5054,14.843416213989258,11.980660438537598,14.725247383117676,17.76166343688965,6.843416213989258,3.9806604385375977,6.725247383117676,9.761663436889648,True
denoised,8.0,duplicate_removal,tp,12,4515,14.506053924560549,11.661845207214355,14.379095077514648,17.500537872314453,6.506053924560549,3.6618452072143555,6.379095077514648,9.500537872314453,True
denoised,8.0,duplicate_removal,tp,13,3931,14.001622200012209,11.285919189453123,13.787079811096191,16.948753356933594,6.001622200012209,3.2859191894531232,5.787079811096191,8.948753356933594,True
denoised,8.0,duplicate_removal,tp,14,3280,13.643759727478027,11.008065223693848,13.4637451171875,16.572359085083008,5.643759727478027,3.0080652236938477,5.4637451171875,8.572359085083008,True
denoised,8.0,duplicate_removal,tp,15,2861,13.215710639953612,10.666654586791992,12.962797164916992,16.122297286987305,5.2157106399536115,2.666654586791992,4.962797164916992,8.122297286987305,True
denoised,8.0,duplicate_removal,tp,16,2490,12.767984390258787,10.39512538909912,12.493005752563477,15.582511901855469,4.767984390258787,2.3951253890991193,4.493005752563477,7.582511901855469,True
