domain,sample_type,gt_unit_id,frame,top1_score,top2_score,winner_template,winner_margin
raw_native,background,,24183377,5.8138685,5.810144,86,0.003724575
raw_native,background,,24195449,8.553014,7.756771,509,0.7962427
raw_native,background,,24212544,5.04707,4.8184114,408,0.22865868
raw_native,background,,24215177,20.281698,15.55211,260,4.7295885
raw_native,background,,24219759,16.465149,15.803479,198,0.66166973
raw_native,background,,24235673,8.201795,8.179014,295,0.022780418
raw_native,background,,24237028,7.6533837,6.494069,76,1.1593146
raw_native,gt,94.0,24218903,15.670117,9.913358,304,5.7567596
raw_native,gt,1143.0,24227003,12.505235,9.857133,143,2.6481018
raw_native,gt,664.0,24212288,7.205068,5.656969,347,1.548099
raw_native,gt,1129.0,24212749,24.800873,18.143738,516,6.657135
raw_native,background,,24247417,17.204794,7.545032,273,9.659761
raw_native,background,,24249190,5.887221,5.514254,133,0.37296677
raw_native,background,,24269177,12.645023,11.555617,530,1.089406
raw_native,background,,24269282,13.646471,13.155608,252,0.49086285
raw_native,background,,24276473,7.3305078,5.396629,50,1.9338789
raw_native,background,,24277495,16.344667,13.556415,419,2.7882528
raw_native,background,,24282780,11.882277,11.779783,253,0.102493286
raw_native,background,,24292069,16.96284,16.804014,309,0.15882492
raw_native,gt,720.0,24299783,32.50089,32.4618,432,0.039089203
raw_native,background,,24312292,14.309136,12.120281,5,2.1888552
raw_native,background,,24323475,21.893261,19.691969,273,2.201292
raw_native,background,,24326927,6.759648,6.7106986,248,0.04894924
raw_native,background,,24330697,5.943883,5.4385495,174,0.5053334
raw_native,background,,24330874,6.9498844,6.339764,53,0.6101203
raw_native,background,,24336410,9.287262,8.731293,254,0.55596924
raw_native,gt,337.0,24326352,18.878798,15.127637,26,3.7511606
raw_native,gt,1143.0,24318071,22.06474,19.984863,389,2.079876
raw_native,gt,1122.0,24329456,11.813613,9.277172,83,2.5364408
raw_native,background,,24373226,9.548389,9.030343,475,0.5180464
raw_native,background,,24374155,7.557124,6.884873,180,0.6722512
raw_native,background,,24377491,14.439225,13.930927,44,0.5082979
raw_native,background,,24383393,5.1682878,4.6592903,211,0.50899744
raw_native,background,,24387631,20.74841,17.473932,328,3.274477
raw_native,background,,24403687,15.669629,14.014928,305,1.6547012
raw_native,background,,24409258,9.336451,7.969584,227,1.3668666
raw_native,gt,1143.0,24418668,12.327648,11.198117,143,1.1295309
raw_native,gt,1300.0,24363222,18.769747,10.343124,243,8.426622
raw_native,gt,793.0,24404455,20.766476,12.729917,112,8.036559
raw_native,gt,1129.0,24404211,9.217971,8.894522,217,0.32344913
raw_native,background,,24420729,7.355341,6.3181033,564,1.0372376
raw_native,background,,24431698,8.988476,7.5388613,27,1.4496145
raw_native,background,,24433408,8.683762,7.9880533,180,0.6957083
raw_native,background,,24437613,9.378871,9.002903,76,0.37596798
raw_native,background,,24451554,14.994182,14.291095,30,0.70308685
raw_native,background,,24462270,12.19482,11.108246,57,1.0865746
raw_native,background,,24465201,4.329423,3.931119,232,0.398304
raw_native,background,,24471066,23.708138,23.210836,454,0.4973011
raw_native,background,,24477106,6.6712127,6.089192,53,0.58202076
raw_native,gt,94.0,24465980,17.381525,13.071549,207,4.3099756
raw_native,gt,1143.0,24437819,30.444172,27.099623,316,3.3445492
raw_native,gt,664.0,24421098,9.85726,9.726863,3,0.13039684
raw_native,gt,664.0,24479945,10.817119,9.556407,410,1.2607117
raw_native,background,,24480739,6.019832,5.602106,206,0.41772604
raw_native,background,,24503138,18.111145,15.482306,226,2.6288395
raw_native,background,,24503731,6.1212173,4.943801,43,1.1774163
raw_native,background,,24503948,4.7032666,4.444575,361,0.2586918
raw_native,background,,24511163,7.9959416,5.8752728,539,2.120669
raw_native,background,,24514114,5.840477,4.947608,302,0.892869
raw_native,background,,24524309,5.778244,5.0868936,184,0.69135046
raw_native,background,,24530929,7.4582005,7.201904,487,0.25629663
raw_native,background,,24536580,6.7997665,6.081716,475,0.7180505
