domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90
denoised,8.0,detection_template,fp_matched_cluster,25,2331,9.805450439453125,8.707640647888184,9.669879913330078,11.049402236938477
denoised,8.0,detection_template,fp_matched_cluster,26,2346,9.701621055603027,8.641377449035645,9.53271770477295,10.933147430419922
denoised,8.0,detection_template,fp_matched_cluster,27,2348,9.5763521194458,8.578216552734375,9.455263137817383,10.68352222442627
denoised,8.0,detection_template,fp_matched_cluster,28,2374,9.45530891418457,8.482941627502441,9.33385944366455,10.537731170654297
denoised,8.0,detection_template,fp_matched_cluster,29,2363,9.361114501953125,8.41887092590332,9.239349365234375,10.414542198181152
denoised,8.0,detection_template,fp_matched_cluster,30,2352,9.261385917663574,8.402599334716797,9.14875316619873,10.244544982910156
denoised,8.0,detection_template,fp_matched_cluster,31,2378,9.160395622253418,8.315393447875977,9.035165786743164,10.171348571777344
denoised,8.0,detection_template,fp_matched_cluster,32,2295,9.082963943481445,8.29869556427002,8.974982261657715,9.980104446411133
denoised,8.0,detection_template,fp_matched_cluster,33,2330,9.020126342773438,8.244203567504883,8.921146392822266,9.897533416748047
denoised,8.0,detection_template,fp_matched_cluster,34,2373,8.949210166931152,8.212501525878906,8.832413673400879,9.79835033416748
denoised,8.0,detection_template,fp_matched_cluster,35,2243,8.891433715820312,8.19176959991455,8.759507179260254,9.704517364501953
denoised,8.0,detection_template,fp_matched_cluster,36,2110,8.830638885498047,8.187562942504883,8.7056884765625,9.621686935424805
denoised,8.0,detection_template,fp_matched_cluster,37,2065,8.77953052520752,8.138259887695312,8.672628402709961,9.537660598754883
denoised,8.0,detection_template,fp_matched_cluster,38,2031,8.726648330688477,8.139647483825684,8.590036392211914,9.491215705871582
denoised,8.0,detection_template,fp_matched_cluster,39,2018,8.6759672164917,8.12362003326416,8.5747709274292,9.330531120300293
denoised,8.0,detection_template,fp_matched_cluster,40,1928,8.656967163085938,8.107093811035156,8.525480270385742,9.35004997253418
denoised,8.0,detection_template,fp_matched_cluster,41,1748,8.602442741394043,8.09486198425293,8.498809814453125,9.257377624511719
denoised,8.0,detection_template,fp_matched_cluster,42,1692,8.569594383239746,8.081707954406738,8.460186004638672,9.213478088378906
denoised,8.0,detection_template,fp_matched_cluster,43,1586,8.532581329345703,8.07999038696289,8.42426586151123,9.11125373840332
denoised,8.0,detection_template,fp_matched_cluster,44,1494,8.51396369934082,8.076859474182129,8.400518417358398,9.071284294128418
denoised,8.0,detection_template,fp_matched_cluster,45,1381,8.507575035095215,8.070113182067871,8.390335083007812,9.09844970703125
